Family,Genus,BB_01_R001,BB_01_R003,BB_01_R004,FPS_01_R011,FPS_01_R012,FPS_01_R013,IS_01_R021,IS_01_R022,IS_01_R023,BB_02_R027,BB_02_R028,BB_02_R029,IS_02_R034,IS_02_R035,IS_02_R036
Chromadoridae,Actarjania,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Chromadoridae,Actinonema,1,1,2,3,0,0,4,5,1,2,1,0,0,0,0
Chromadoridae,Aegioloalaimus,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2
Xyalidae,Amphimonhystera,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Axonolaimidae,Anoxolaimus,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Linhomoeidae,Anticyathus,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Leptolaimidae,Antomicron,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Microlaimidae,Aponema,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
Siphonolaimidae,Astomonema,0,0,0,0,0,0,0,0,0,1,4,2,0,0,0
Tripyloididae,Bathylaimus,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0
Enchelidiidae,Calyptronema,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
Anticomidae,Cephalanticoma,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Comesomatidae,Cervonema,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Comesomatidae,Cervonema_aff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Selachinematidae,Cheironchous,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1
Chromadoridae,Chromadora,0,1,1,1,1,0,1,0,0,0,0,0,2,0,2
Chromadoridae,Chromadorella,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Chromadoridae,Chromadoridae,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Chromadoridae,Chromadorina,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Desmodoridae,Chromaspirinia,1,0,1,0,0,1,10,0,0,8,3,3,0,0,0
Xyalidae,Cobbia,0,0,0,1,1,0,2,1,0,0,1,0,0,1,0
Comesomatidae,Comesa,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Comesomatidae,Comesomatidae,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Cyartonematidae,Cyartonema,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Cyatholaimidae,Cyatholaimus,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Xyalidae,Daptonema,3,7,18,7,6,35,2,3,4,11,27,3,2,2,1
Camacolaimidae,Deontolaimus,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Desmodoridae,Desmodora,0,0,1,0,0,0,2,0,0,0,0,5,0,0,0
Dorylaimidae,Dorylaimidae,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
Comesomatidae,Dorylaimopsis,6,5,7,5,4,2,3,12,8,1,0,0,13,8,6
Linhomoeidae,Eleutherolaimus,0,0,0,2,0,0,0,1,0,1,1,0,0,2,0
Thoracostomopsidae,Enoploides,0,0,0,0,0,0,2,3,0,1,0,0,0,1,0
Linhomoeidae,Eumorpholaimus,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Encheliidae,Eurystomina,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Unknown,Freshwater nematode,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Unknown,Genus_unknown_1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Chromadoridae,Gomphionchus,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Chromadoridae,Gomphionema,20,3,11,0,0,0,0,0,0,1,0,0,4,0,3
Chromadoridae,Gonionchus,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Halalaimidae,Halalaimus,1,2,1,2,2,5,4,6,5,0,0,0,2,5,0
Halaphanolaimidae,Halaphanolaimus,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Halichoanolaimidae,Halichoanolaimus,2,1,0,0,2,2,0,0,3,1,0,1,0,0,0
Axonolaimidae,Hopperia,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ironidae,Ledovitia,0,0,0,0,0,0,5,6,11,1,0,2,1,0,0
Leptolaimidae,Leptolaimus,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Linhomoidae,Lihnomoeus,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
Cyatholaimidae,Longicyatholaimus,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Microlaimidae,Marylynnia,1,0,3,9,42,12,0,1,2,4,4,0,3,2,0
Thoracostomopsidae,Mesacanthion,0,0,0,0,0,0,0,1,4,0,1,0,0,1,0
Comesomatidae,Metacomesoma,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Desmodoridae,Metadesmolaimus,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0
Linhomoidae,Metalihnomoeus,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Sphaerolaimidae,Metasphaerolaimus,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Oncholaimidae,Metoncholaimus,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Comesomatidae,Meyersia,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
Microlaimidae,Microlaimus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microlaimidae,Microlaimus/ Aponema,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Molgolaimidae,Molgolaimus,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Nannolaimidae,Nannolaimoides,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Chromadoridae,Neotonchus,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Cyatholaimidae,Odontanticoma,0,1,1,1,14,0,0,2,2,0,0,1,0,0,0
Odontophoridae,Odontophora,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
