Family,Genus,Feeding_type,c_p,BB_01,BB_01,BB_01,FPS_01,FPS_01,FPS_01,IS_01,IS_01,IS_01,BB_02,BB_02,BB_02,IS_02,IS_02,IS_02,
Aegialoalaimidae,Aegialoalaimus,1A,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,
Anticomidae,Cephalanticoma,2A,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
Anticomidae,Odontanticoma,1A,2,0,1,1,1,14,0,0,2,2,0,0,1,0,0,0,
Axonolaimidae,Anoxolaimus,1B,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
Axonolaimidae,Odontophora,1B,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
Axonolaimidae,Odontophoroides,1B,2,3,0,3,12,6,6,1,3,2,8,1,2,9,5,2,
Axonolaimidae,Parodontophora,2B,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Axonolaimidae,Pseudolella,2A,2,0,0,0,0,0,0,0,0,0,0,0,0,2,7,1,
Camacolaimidae,Deontolaimus,1B,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Ceramonematidae,Pselionema,1A,3,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,
Ceramonematidae,Pterygonema,1A,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Chromadoridae,Actinonema,2A,3,1,1,2,3,0,0,4,5,1,2,1,0,0,0,0,
Chromadoridae,Chromadora,2A,3,0,1,1,1,1,0,1,0,0,0,0,0,2,0,2,
Chromadoridae,Chromadorella,2A,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Chromadoridae,Chromadoridae,2A,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
Chromadoridae,Chromadori,2A,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
Chromadoridae,Ptycholaimellus,2A,3,22,19,15,14,14,19,11,25,12,6,22,10,7,5,3,
Chromadoridae,Spilophorella,2A,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,
Chromadoridae,Prochromadorella,2A,2,21,0,3,6,5,0,0,1,0,6,6,2,0,2,1,
Comesomatidae,Hopperia,2B,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Comesomatidae,Actarjania,1B,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Comesomatidae,Paracomesoma,2A,2,0,0,0,0,0,3,2,0,0,0,4,1,0,0,0,
Comesomatidae,Cervonema,1B,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Comesomatidae,Cervonema_aff,1B,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Comesomatidae,Comesa,1B,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,
Comesomatidae,Comesomatidae,1B,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
Comesomatidae,Dorylaimopsis,2A,2,6,5,7,5,4,2,3,12,8,1,0,0,13,8,6,
Comesomatidae,Metacomesoma,1A,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
Comesomatidae,Sabatieria,1B,2,15,6,12,17,3,6,1,0,2,0,1,7,6,13,4,
Cyartonematidae,Cyartonema,1A,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,
Cyatholaimidae,Paracyatholaimus,2A,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Cyatholaimidae,Cyatholaimus,2A,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Cyatholaimidae,Longicyatholaimus,2A,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
Cyatholaimidae,Paralongicyatholaimus,2A,3,2,3,0,0,1,1,0,1,0,5,0,1,0,0,0,
Cyatholaimidae,Paramesonchium,2A,2,0,0,0,0,3,0,0,1,0,1,2,2,0,0,0,
Cyatholaimidae,Marylynnia,2A,3,1,0,3,9,42,12,0,1,2,4,4,0,3,2,0,
Cyatholaimidae,nnolaimoides,1A,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Cyatolaimidae,Paracanthonchus,2A,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cyatolaimidae,Preacanthonchus,2A,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Desmodoridae,Chromaspirinia,2A,4,1,0,1,0,0,1,10,0,0,8,3,3,0,0,0,
Desmodoridae,Desmodora,2A,2,0,0,1,0,0,0,2,0,0,0,0,5,0,0,0,
Desmodoridae,Spirinia,2A,3,3,6,8,5,1,0,0,0,0,21,9,40,9,7,19,
Desmodoridae,Spirobolbolaimus,1B,3,0,0,1,0,0,0,0,8,3,4,0,0,0,0,0,
Desmodoridae,Molgolaimus,2A,3,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,
Desmodoridae,Onyx,2B,3,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,
Desmodoridae,Perspiria,2A,3,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,
